# Custom ArduPilot SITL Locations
# Format: NAME=latitude,longitude,absolute-altitude,heading

# Default ArduPilot locations (included for reference)
CMAC=-35.363261,149.165230,584,353
CMAC2=-35.362889,149.165221,584,270
Ballarat=-37.598705,143.881744,485,165
Kingaroy=-26.583528,151.840440,444,169
CTS=33.462673,-117.559197,160,353

# Default xmac Map3D terrain test location
MAVPROXY_USGS1M=34.5203177127797,-119.316303905531,1135.274658203125,225
# Add your custom locations below:
# MyHomeField=40.7128,-74.0060,10,0
# LocalPark=37.7749,-122.4194,50,270
